,explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi,local_score
54,10.1055/s-2007-986199,"Körner, A, Geyer, M, Roth, M, Drapeau, M, Schmutzer, G, Albani, C, Schumann, S, Brahler, E. Personlichkeitsdiagnostik mit dem NEO-Fünf-Faktoren-Inventar: Die 30-Item-Kurzversion (NEO-FFI-30) [Personality diagnostic using the NEO-Five-Factor-Inventory: The 30-Item short version (NEO-FFI-30)], Psychother. Psychosom. Med. Psychol, 2008, 58, 238, 245, DOI: 10.1055/s-2007-986199, PMID: 17899495",10.1055/s-2007-986199,10.1055/s-2007-986199,10.1055/s-2007-986199,114.06055
56,10.1001/jama.2020.1227,"Emanuel, EJ. The inevitable reimagining of medical education, JAMA, 2020, 323, 12, 1127, 1128, DOI: 10.1001/jama.2020.1227, PMID: 32105294",10.1001/jama.2020.1227,10.1001/jama.2020.1227,10.1001/jama.2020.1227,41.062637
57,10.1056/nejmp1706474,"Schwartzstein, RM, Roberts, DH. Saying goodbye to lectures in medical school — paradigm shift or passing fad, New Engl J Med, 2017, 377, 7, 605, 607, DOI: 10.1056/nejmp1706474, PMID: 28813217",10.1056/nejmp1706474,10.1056/nejmp1706474,10.1056/nejmp1706474,68.51454
61,10.1177/105256298200700103,"Michaelsen, LK, Watson, W, Cragin, JP, Fink, LD. Team learning: a potential solution to the problems of large classes, J Organ Behav Educ, 1982, 7, 1, 13, 22, DOI: 10.1177/105256298200700103",10.1177/105256298200700103,10.1177/105256298200700103,10.1177/105256298200700103,48.8593
62,10.1007/s10459-006-9012-8,"Dolmans, DH, Schmidt, HG. What do we know about cognitive and motivational effects of small group tutorials in problem-based learning, Adv Health Sci Educ, 2006, 11, 4, 321, 336, DOI: 10.1007/s10459-006-9012-8",10.1007/s10459-006-9012-8,10.1007/s10459-006-9012-8,10.1007/s10459-006-9012-8,68.50166
63,,"Wray A, Wolff M, Boysen-Osborn M, Wiechmann W, Paradise P, Runcie E, Sudario G, Toohey S. Not another boring resident didactic conference. AEM Educ Train. 2019;4(S1). 10.1002/aet2.10367",10.1002/aet2.10367,10.1002/aet2.10367,10.1002/aet2.10367,63.730072
64,10.1007/s10461-020-02837-x,"Marhefka, S, Lockhart, E, Turner, D. Achieve research continuity during social distancing by rapidly implementing individual and group videoconferencing with participants: key considerations, best practices, and protocols, AIDS Behav, 2020, 24, 1983, 1989, DOI: 10.1007/s10461-020-02837-x, PMID: 32240428",10.1007/s10461-020-02837-x,10.1007/s10461-020-02837-x,10.1007/s10461-020-02837-x,84.94869
66,10.1001/jama.1995.03520300057037,"Perednia, DA, Allen, A. Telemedicine technology and clinical applications, JAMA, 1995, 273, 6, 483, 488, DOI: 10.1001/jama.1995.03520300057037, PMID: 7837367",10.1001/jama.273.6.483,10.1001/jama.273.6.483,10.1001/jama.273.6.483,44.037678
67,10.1146/annurev.publhealth.21.1.613.perednia,"Bashshur, RL, Reardon, TG, Shannon, GW. Telemedicine: a new health care delivery system, Annu Rev Public Health, 2000, 21, 1, 613, 637, DOI: 10.1146/annurev.publhealth.21.1.613.Perednia, PMID: 10884967",10.1146/annurev.publhealth.21.1.613,10.1146/annurev.publhealth.21.1.613,10.1146/annurev.publhealth.21.1.613,55.071915000000004
68,10.1016/j.tics.2010.09.003,"Roediger, HL, Butler, AC. The critical role of retrieval practice in long-term retention, Trends Cogn Sci, 2011, 15, 1, 20, 27, DOI: 10.1016/j.tics.2010.09.003, PMID: 20951630",10.1016/j.tics.2010.09.003,10.1016/j.tics.2010.09.003,10.1016/j.tics.2010.09.003,37.841496
69,,"Shepard, LA. Formative assessment: caveat emptor. In: Dwyer CA. The future of assessment: shaping teaching and learning, 2008, New York, Routledge",10.4324/9781315086545-12,10.4324/9781315086545-12,10.4324/9781315086545-12,29.070679
70,10.1016/j.humov.2013.01.002,"Agostini, V, Chiaramello, E, Canavese, L, Bredariol, C, Knaflitz, M. Postural sway in volleyball players, Hum Mov Sci, 2013, 32, 445, 456, DOI: 10.1016/j.humov.2013.01.002, PMID: 23628360",10.1016/j.humov.2013.01.002,10.1016/j.humov.2013.01.002,10.1016/j.humov.2013.01.002,58.271626
71,10.1007/s11332-008-0056-4,"Alpini, D, Mattei, V, Schlecht, H, Kohen-Raz, R. Postural control modifications induced by synchronized ice skating, Sport Sci Health, 2008, 3, 11, 17, DOI: 10.1007/s11332-008-0056-4",10.1007/s11332-008-0056-4,10.1007/s11332-008-0056-4,10.1007/s11332-008-0056-4,75.30237
72,10.1080/02640414.2010.544046,"Kuczyński, M, Szymańska, M, Bieć, E. Dual-task effect on postural control in high-level competitive dancers, J Sports Sci, 2011, 29, 539, 545, DOI: 10.1080/02640414.2010.544046, PMID: 21294035",10.1080/02640414.2010.544046,10.1080/02640414.2010.544046,10.1080/02640414.2010.544046,57.153397
73,10.1007/s00421-011-2151-5,"Stambolieva, K, Diafas, V, Bachev, V, Christova, L, Gatev, P. Postural stability of canoeing and kayaking young male athletes during quiet stance, Eur J Appl Physiol, 2012, 112, 1807, 1815, DOI: 10.1007/s00421-011-2151-5, PMID: 21909987",10.1007/s00421-011-2151-5,10.1007/s00421-011-2151-5,10.1007/s00421-011-2151-5,90.05058000000001
74,10.1080/1750984x.2012.723728,"Wulf, G. Attentional focus and motor learning: a review of 15 years, Int Rev Sport Exerc Psychol, 2013, 6, 77, 104, DOI: 10.1080/1750984X.2012.723728",10.1080/1750984x.2012.723728,10.1080/1750984x.2012.723728,10.1080/1750984x.2012.723728,41.075947
75,10.1123/ijspp.2015-0211,"Ihalainen, S, Linnamo, V, Mononen, K, Kuitunen, S. Relation of elite rifle shooters’ technique-test measures to competition performance, Int J Sports Physiol Perform, 2016, 11, 671, 677, DOI: 10.1123/ijspp.2015-0211, PMID: 26559498",10.1123/ijspp.2015-0211,10.1123/ijspp.2015-0211,10.1123/ijspp.2015-0211,73.52644000000001
76,10.1016/0021-9290(95)00066-6,"Era, P, Konttinen, N, Mehto, P, Saarela, P, Lyytinen, H. Postural stability and skilled performance-a study on top-level and naive rifle shooters, J Biomech, 1996, 29, 301, 306, DOI: 10.1016/0021-9290(95)00066-6, PMID: 8850636",10.1016/0021-9290(95)00066-6,10.1016/0021-9290(95)00066-6,10.1016/0021-9290(95)00066-6,73.6542
78,10.1055/s-2004-830529,"Asseman, F, Caron, O, Crémieux, J. Effects of the removal of vision on body sway during different postures in elite gymnasts, Int J Sports Med, 2005, 26, 116, 119, DOI: 10.1055/s-2004-830529, PMID: 15726495",10.1055/s-2004-830529,10.1055/s-2004-830529,10.1055/s-2004-830529,75.47015
79,10.1016/j.neulet.2003.12.102,"Asseman, F, Caron, O, Crémieux, J. Is there a transfer of postural ability from specific to unspecific postures in elite gymnasts, Neurosci Lett, 2004, 358, 83, 86, DOI: 10.1016/j.neulet.2003.12.102, PMID: 15026154",10.1016/j.neulet.2003.12.102,10.1016/j.neulet.2003.12.102,10.1016/j.neulet.2003.12.102,66.55903
80,,"Sell, TC, Tsai, Y-S, Smoliga, JM, Myers, JB, Lephart, SM. Strength, flexibility, and balance characteristics of highly proficient golfers, J Strength Cond Res, 2007, 21, 4, 1166, 1171, PMID: 18076270",10.1519/r-21826.1,10.1519/r-21826.1,10.1519/r-21826.1,61.981018000000006
81,10.1080/02640414.2017.1306090,"Kim, M, Kim, Y, Kim, H, Yoon, B. Specific muscle synergies in national elite female ice hockey players in response to unexpected external perturbation, J Sports Sci, 2018, 36, 319, 325, DOI: 10.1080/02640414.2017.1306090, PMID: 28415899",10.1080/02640414.2017.1306090,10.1080/02640414.2017.1306090,10.1080/02640414.2017.1306090,62.333957999999996
82,10.1016/j.gaitpost.2007.09.007,"Gautier, G, Thouvarecq, R, Vuillerme, N. Postural control and perceptive configuration: influence of expertise in gymnastics, Gait Posture, 2008, 28, 46, 51, DOI: 10.1016/j.gaitpost.2007.09.007, PMID: 17976990",10.1016/j.gaitpost.2007.09.007,10.1016/j.gaitpost.2007.09.007,10.1016/j.gaitpost.2007.09.007,59.214130000000004
83,,"Kuczyński M, Rektor Z, Borzucka D. Postural control in quiet stance in the second league male volleyball players. Hum Mov. 2009;10. 10.2478/v10038-008-0025-4.",10.2478/v10038-008-0025-4,10.2478/v10038-008-0025-4,10.2478/v10038-008-0025-4,69.714485
84,10.1371/journal.pone.0096440,"Welch, TDJ, Ting, LH. Mechanisms of motor adaptation in reactive balance control, PLoS One, 2014, 9, e96440, DOI: 10.1371/journal.pone.0096440, PMID: 24810991",10.1371/journal.pone.0096440,10.1371/journal.pone.0096440,10.1371/journal.pone.0096440,49.083565
85,10.1007/s001670000147,"Söderman, K, Werner, S, Pietilä, T, Engström, B, Alfredson, H. Balance board training: prevention of traumatic injuries of the lower extremities in female soccer players, Knee Surgery, Sport Traumatol Arthrosc, 2000, 8, 356, 363, DOI: 10.1007/s001670000147",10.1007/s001670000147,10.1007/s001670000147,10.1007/s001670000147,79.48393
86,10.1177/0363546503262177,"Verhagen, E, van der Beek, A, Twisk, J, Bouter, L, Bahr, R, van Mechelen, W. The effect of a proprioceptive balance board training program for the prevention of ankle sprains, Am J Sports Med, 2004, 32, 1385, 1393, DOI: 10.1177/0363546503262177, PMID: 15310562",10.1177/0363546503262177,10.1177/0363546503262177,10.1177/0363546503262177,80.33629599999999
87,10.1177/0363546505284191,"McGuine, TA, Keene, JS. The effect of a balance training program on the risk of ankle sprains in high school athletes, Am J Sports Med, 2006, 34, 1103, 1111, DOI: 10.1177/0363546505284191, PMID: 16476915",10.1177/0363546505284191,10.1177/0363546505284191,10.1177/0363546505284191,64.681694
88,10.1109/10.532130,"Prieto, TE, Myklebust, JB, Hoffmann, RG, Lovett, EG, Myklebust, BM. Measures of postural steadiness: differences between healthy young and elderly adults, IEEE Trans Biomed Eng, 1996, 43, 956, 966, DOI: 10.1109/10.532130, PMID: 9214811",10.1109/10.532130,10.1109/10.532130,10.1109/10.532130,71.03345999999999
89,10.1016/s0966-6362(99)00003-x,"Kuczyński, M. The second order autoregressive model in the evaluation of postural stability, Gait Posture, 1999, 9, 50, 56, DOI: 10.1016/S0966-6362(99)00003-X, PMID: 10575070",10.1016/s0966-6362(99)00003-x,10.1016/s0966-6362(99)00003-x,10.1016/s0966-6362(99)00003-x,49.029579999999996
91,10.1093/ageing/afl077,"Horak, FB. Postural orientation and equilibrium: what do we need to know about neural control of balance to prevent falls, Age Ageing, 2006, 35, 7, 11, DOI: 10.1093/ageing/afl077",10.1093/ageing/afl077,10.1093/ageing/afl077,10.1093/ageing/afl077,66.16154
92,10.1097/jes.0b013e3182877cc8,"Haddad, JM, Rietdyk, S, Claxton, LJ, Huber, JE. Task-dependent postural control throughout the lifespan, Exerc Sport Sci Rev, 2013, 41, 123, 132, DOI: 10.1097/JES.0b013e3182877cc8, PMID: 23364347",10.1097/jes.0b013e3182877cc8,10.1097/jes.0b013e3182877cc8,10.1097/jes.0b013e3182877cc8,58.994476
93,,Paillard T. Relationship between sport expertise and postural skills. Front Psychol. 2019;10. 10.3389/fpsyg.2019.01428.,10.3389/fpsyg.2019.01428,10.3389/fpsyg.2019.01428,10.3389/fpsyg.2019.01428,43.890827
94,10.1080/02701367.2008.10599495,"Wulf, G. Attentional focus effects in balance acrobats, Res Q Exerc Sport, 2008, 79, 319, 325, DOI: 10.1080/02701367.2008.10599495, PMID: 18816943",10.1080/02701367.2008.10599495,10.1080/02701367.2008.10599495,10.1080/02701367.2008.10599495,40.50318
95,10.1080/02724980143000118,"Wulf, G, McNevin, N, Shea, CH. The automaticity of complex motor skill learning as a function of attentional focus, Q J Exp Psychol A, 2001, 54, 1143, 1154, DOI: 10.1080/02724980143000118, PMID: 11765737",10.1080/713756012,10.1080/713756012,10.1080/713756012,50.350765
96,10.1080/02701367.2001.10608970,"Wulf, G, Shea, C, Park, J-H. Attention and motor performance: preferences for and advantages of an external focus, Res Q Exerc Sport, 2001, 72, 335, 344, DOI: 10.1080/02701367.2001.10608970, PMID: 11770783",10.1080/02701367.2001.10608970,10.1080/02701367.2001.10608970,10.1080/02701367.2001.10608970,48.038303000000006
97,10.3200/jmbr.36.2.189-199,"Wulf, G, Mercer, J, McNevin, N, Guadagnoli, MA. Reciprocal influences of Attentional focus on postural and Suprapostural task performance, J Mot Behav, 2004, 36, 189, 199, DOI: 10.3200/JMBR.36.2.189-199, PMID: 15130869",10.3200/jmbr.36.2.189-199,10.3200/jmbr.36.2.189-199,10.3200/jmbr.36.2.189-199,70.26695
98,10.1111/j.1365-2923.2009.03421.x,"Wulf, G, Shea, C, Lewthwaite, R. Motor skill learning and performance: a review of influential factors, Med Educ, 2010, 44, 75, 84, DOI: 10.1111/j.1365-2923.2009.03421.x, PMID: 20078758",10.1111/j.1365-2923.2009.03421.x,10.1111/j.1365-2923.2009.03421.x,10.1111/j.1365-2923.2009.03421.x,47.871086
99,10.1016/j.cobeha.2018.01.004,"Sternad, D. It’s not (only) the mean that matters: variability, noise and exploration in skill learning, Curr Opin Behav Sci, 2018, 20, 183, 195, DOI: 10.1016/j.cobeha.2018.01.004, PMID: 30035207",10.1016/j.cobeha.2018.01.004,10.1016/j.cobeha.2018.01.004,10.1016/j.cobeha.2018.01.004,46.459396000000005
100,10.1016/j.gaitpost.2016.02.019,"Casabona, A, Leonardi, G, Aimola, E, La Grua, G, Polizzi, CM, Cioni, M. Specificity of foot configuration during bipedal stance in ballet dancers, Gait Posture, 2016, 46, 91, 97, DOI: 10.1016/j.gaitpost.2016.02.019, PMID: 27131184",10.1016/j.gaitpost.2016.02.019,10.1016/j.gaitpost.2016.02.019,10.1016/j.gaitpost.2016.02.019,72.079994
101,10.1007/s00221-016-4814-2,"Cone, BL, Goble, DJ, Rhea, CK. Relationship between changes in vestibular sensory reweighting and postural control complexity, Exp Brain Res, 2017, 235, 547, 554, DOI: 10.1007/s00221-016-4814-2, PMID: 27812748",10.1007/s00221-016-4814-2,10.1007/s00221-016-4814-2,10.1007/s00221-016-4814-2,67.38086
