explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi
10.4155/fmc-2017-0100,"Li, W, Sun, H, Xu, S, et al. Tubulin inhibitors targeting the colchicine binding site: a perspective of privileged structures. Future Med Chem 2017; 9: 1765–94. PMID: 28929799",10.4155/fmc-2017-0100,10.4155/fmc-2017-0100,10.4155/fmc-2017-0100
10.1021/ml200149g,"Beale, TM, Allwood, DM, Bender, A, et al. A-ring dihalogenation increases the cellular activity of combretastatin templated tetrazoles. ACS Med Chem Lett 2012; 3: 177–81. PMID: 24900453",10.1021/ml200149g,10.1021/ml200149g,10.1021/ml200149g
,"Liang, L, Astruc, D. The copper(I)-catalyzed alkyne-azide cycloaddition (CuAAC) “click” reaction and its applications. An overview. Coord Chem Rev 2011; 255: 2933–45.",10.1016/j.ccr.2011.06.028,10.1016/j.ccr.2011.06.028,10.1016/j.ccr.2011.06.028
,"Szabó, J, Jerkovics, N, Schneider, G, et al. Synthesis and in vitro antiproliferative evaluation of C-13 epimers of triazolyl-d-secoestrone alcohols: the first potent 13α-d-secoestrone derivative. Molecules 2016; 21: 611–24.",10.3390/molecules21050611,10.3390/molecules21050611,10.3390/molecules21050611
10.1016/j.jsbmb.2016.06.013,"Bózsity, N, Minorics, R, Szabó, J, et al. Mechanism of antiproliferative action of a new d-secoestrone-triazole derivative in cervical cancer cells and its effect on cancer cell motility. J Steroid Biochem Mol Biol 2017; 165: 247–57. PMID: 27363663",10.1016/j.jsbmb.2016.06.013,10.1016/j.jsbmb.2016.06.013,10.1016/j.jsbmb.2016.06.013
10.1016/j.steroids.2016.05.010,"Szabó, J, Pataki, Z, Wölfling, J, et al. Synthesis and biological evaluation of 13α-estrone derivatives as potential antiproliferative agents. Steroids 2016; 113: 14–21. PMID: 27263437",10.1016/j.steroids.2016.05.010,10.1016/j.steroids.2016.05.010,10.1016/j.steroids.2016.05.010
10.1080/14756366.2018.1490731,"Bacsa, I, Herman, BE, Jójárt, R, et al. Synthesis and structure-activity relationships of 2-and/or 4-halogenated 13β-and 13α-estrone derivatives as enzyme inhibitors of estrogen biosynthesis. J Enzyme Inhib Med Chem 2018; 33: 1271–82. PMID: 30230387",10.1080/14756366.2018.1490731,10.1080/14756366.2018.1490731,10.1080/14756366.2018.1490731
10.3762/bjoc.14.262,"Jójárt, R, Pécsy, S, Keglevich, G, et al. Pd-catalyzed microwave-assisted synthesis of phosphonated 13α-estrones as potential OATP2B1, 17β-HSD1 and/or STS inhibitors. Beilstein J Org Chem 2018; 14: 2838–45. PMID: 30498534",10.3762/bjoc.14.262,10.3762/bjoc.14.262,10.3762/bjoc.14.262
,"Hirao, T, Masunaga, T, Ohshiro, Y, Agawa, T. Stereoselective synthesis of vinylphosphonate. Tetrahedron Lett 1980; 21: 3595–8.",10.1016/0040-4039(80)80245-0,10.1016/0040-4039(80)80245-0,10.1016/0040-4039(80)80245-0
,"Keglevich, G, Jablonkai, E, László, BB. A “green” variation of the Hirao reaction: the P-C coupling of diethyl phosphite, alkyl phenyl-H-phosphinates and secondary phosphine oxides with bromoarenes using a P-ligand-free Pd(OAc) 2 catalyst under micro-wave and solvent-free conditions. RSC Adv 2014; 4: 22808–16.",10.1039/c4ra03292f,10.1039/c4ra03292f,10.1039/c4ra03292f
10.1021/acs.joc.6b00220,"Dziuganowska, ZA, Ślepokura, K, Volle, JN, et al. Structural analogues of Selfotel (CGS-19755). J Org Chem 2016; 81: 4947–54. PMID: 27187758",10.1021/acs.joc.6b00220,10.1021/acs.joc.6b00220,10.1021/acs.joc.6b00220
10.1002/adsc.201700895,"Keglevich, G, Henyecz, R, Mucsi, Z, Kiss, NZ. The palladium acetate-catalyzed microwave-assisted Hirao reaction without an added phosphorus ligand as a “green” protocol: a quantum chemical study on the mechanism. Adv Synth Catal 2017; 359: 4322–31. PMID: 29399016",10.1002/adsc.201700895,10.1002/adsc.201700895,10.1002/adsc.201700895
10.1016/j.dmpk.2014.10.005,"Matsumoto, J, Ariyoshi, N, Sakakibara, M, et al. Organic anion transporting polypeptide 2B1 expression correlates with uptake of estrone-3-sulfate and cell proliferation in estrogen receptor-positive breast cancer cells. Drug Metab Pharmacokinet 2015; 30: 133–41. PMID: 25857231",10.1016/j.dmpk.2014.10.005,10.1016/j.dmpk.2014.10.005,10.1016/j.dmpk.2014.10.005
10.1124/jpet.112.192344,"Banerjee, N, Allen, C, Bendayan, R. Differential role of organic anion-transporting polypeptides in estrone-3-sulphate uptake by breast epithelial cells and breast cancer cells. J Pharmacol Exp Ther 2012; 342: 510–09. PMID: 22588260",10.1124/jpet.112.192344,10.1124/jpet.112.192344,10.1124/jpet.112.192344
10.1016/j.steroids.2014.05.015,"Mernyák, E, Szabó, J, Bacsa, I, et al. Syntheses and antiproliferative effects of D-homo-and D-secoestrones. Steroids 2014; 87: 128–36. PMID: 24928727",10.1016/j.steroids.2014.05.015,10.1016/j.steroids.2014.05.015,10.1016/j.steroids.2014.05.015
10.2174/092986712802430072,"Peyrat, J-F, Brion, J-D, Alami, M. Synthetic 2-methoxyestradiol derivatives: structure-activity relationships. Curr Med Chem 2012; 19: 4142–56. PMID: 22709003",10.2174/092986712802430072,10.2174/092986712802430072,10.2174/092986712802430072
10.1016/0022-1759(83)90303-4,"Mosmann, T. Rapid colorimetric assay for cellular growth and survival: application to proliferation and citotoxicity assays. J Immunol Methods 1983; 65: 55–63. PMID: 6606682",10.1016/0022-1759(83)90303-4,10.1016/0022-1759(83)90303-4,10.1016/0022-1759(83)90303-4
10.1021/jm0306430,"Friesner, RA, Banks, JL, Murphy, RB, et al. Glide: a new approach for rapid, accurate docking and scoring. 1. Method and assessment of docking accuracy. J Med Chem 2004; 47: 1739–49. PMID: 15027865",10.1021/jm0306430.s001,10.1021/jm0306430.s001,10.1021/jm0306430 
10.1021/jm030644s,"Halgren, TA, Murphy, RB, Friesner, RA, et al. Glide: a new approach for rapid, accurate docking and scoring. 2. Enrichment factors in database screening. J Med Chem 2004; 47: 1750–9. PMID: 15027866",10.1021/jm030644s,10.1021/jm030644s,10.1021/jm030644s
,"Schrödinger Release 2019-4: Schrödinger, LLC, New York, NY, 2019.",10.1186/s13661-019-1279-9,10.1007/978-3-030-30545-1_21,???
10.1093/nar/28.1.235,"Berman, HM, Westbrook, J, Feng, Z, et al. The protein data bank. Protein Data Bank Nucleic Acids Res 2000; 28: 235–42. PMID: 10592235",10.1093/nar/28.1.235,10.2210/rcsb_pdb/pdb-cit-anal-2017,10.1093/nar/28.1.235
,"Sastry, GM, Adzhigirey, M, Day, T, et al. Protein and ligand preparation: parameters, protocols, and influence on virtual screening enrichments. J Comput Aid Mol Des 2013; 27: 221–34.",10.1007/s10822-013-9644-8,10.1007/s10822-013-9644-8,10.1007/s10822-013-9644-8
,"Schrödinger Release 2019-4: Maestro, Schrödinger, LLC, New York, NY; 2019.",10.1186/s13661-019-1279-9,10.1007/978-3-030-30545-1_21,???
,"Bowers, KJ, Chow, E, Xu, H, et al, Scalable Algorithms for Molecular Dynamics Simulations on Commodity Clusters. Proceedings of the ACM/IEEE Conference on Supercomputing (SC06), Tampa, FL, 2006, November 11–17.",10.1145/1188455.1188544,10.1145/1188455.1188544,10.1145/1188455.1188544
,"Schrödinger Release 2019-4: Desmond Molecular Dynamics System, D. E. Shaw Research, New York, NY, 2019.",10.1111/ajt.15169,10.3934/jmd.2019009,???
10.1021/acs.jctc.5b00864,"Harder, E, Damm, W, Maple, J, et al. OPLS3: a force field providing broad coverage of drug-like small molecules and proteins. J Chem Theory Comput 2016; 12: 281–96. PMID: 26584231",10.1021/acs.jctc.5b00864.s001,10.1021/acs.jctc.5b00864.s001,10.1021/acs.jctc.5b00864
,"Hoover, WG. Canonical dynamics: equilibrium phase-space distributions. Phys Rev A 1985; 31: 1695–7.",10.1103/physreva.31.1695,10.1103/physreva.31.1695,10.1103/physreva.31.1695
10.1038/nrd.2018.21,"Ferguson, FM, Gray, NS. Kinase inhibitors: the road ahead. Nat Rev Drug Discov 2018; 17: 353–77. PMID: 29545548",10.1038/nrd.2018.21,10.1038/nrd.2018.21,10.1038/nrd.2018.21
10.1186/s12943-018-0804-2,"Bhullar, KS, Lagaron, NO, McGowan, EM, et al. Kinase-targeted cancer therapies: progress, challenges and future directions. Mol Cancer 2018; 17: 48. PMID: 29455673",10.1186/s12943-018-0804-2,10.1186/s12943-018-0804-2,10.1186/s12943-018-0804-2
10.1016/j.tips.2015.04.005,"Wu, P, Nielsen, TE, Clausen, MH. FDA-approved small-molecule kinase inhibitors. Trends Pharmacol Sci 2015; 36: 422–39. PMID: 25975227",10.1016/j.tips.2015.04.005,10.1016/j.tips.2015.04.005,10.1016/j.tips.2015.04.005
10.1016/j.phrs.2019.104609,"Roskoski, R, Jr. Properties of FDA-approved small molecule protein kinase inhibitors: a 2020 update. Pharmacol Res 2020; 152: 104609. PMID: 31862477",10.1016/j.phrs.2019.104609,10.1016/j.phrs.2019.104609,10.1016/j.phrs.2019.104609
10.1016/j.currproblcancer.2013.06.001,"Jeong, W, Doroshow, JH, Kummar, S. United States Food and Drug Administration approved oral kinase inhibitors for the treatment of malignancies. Curr Probl Cancer 2013; 37: 110–44. PMID: 23972982",10.1016/j.currproblcancer.2013.06.001,10.1016/j.currproblcancer.2013.06.001,10.1016/j.currproblcancer.2013.06.001
10.1021/acs.jmedchem.8b01469,"Tadesse, S, Caldon, EC, Tilley, W, Wang, S. Cyclin-dependent kinase 2 inhibitors in cancer therapy: an update. J Med Chem 2019; 62: 4233–51. PMID: 30543440",10.1021/acs.jmedchem.8b01469,10.1021/acs.jmedchem.8b01469,10.1021/acs.jmedchem.8b01469
,"Tsai, LH, Lees, E, Faha, B, et al. The cdk2 kinase is required for the G1-to-S transition in mammalian cells. Oncogene 1993; 8: 1593–602. PMID: 8502482",10.1016/s0960-9822(99)80191-2,10.1038/sj.onc.1201400,???
10.1073/pnas.90.3.1112,"Keyomarsi, K, Pardee, AB. Redundant cyclin overexpression and gene amplification in breast cancer cells. Proc Natl Acad Sci U S A 1993; 90: 1112–6. PMID: 8430082",10.1073/pnas.90.3.1112,10.1073/pnas.90.3.1112,10.1073/pnas.90.3.1112
10.18632/oncotarget.4600,"Yang, L, Fang, D, Chen, H, et al. Cyclin-dependent kinase 2 is an ideal target for ovary tumors with elevated cyclin E1 expression. Oncotarget 2015; 6: 20801–12. PMID: 26204491",10.18632/oncotarget.4600,10.18632/oncotarget.4600,10.18632/oncotarget.4600
10.3892/ijo.13.2.233,"Yamamoto, H, Monden, T, Miyoshi, H, et al. Cdk2/cdc2 expression in colon carcinogenesis and effects of cdk2/cdc2 inhibitor in colon cancer cells. Int J Oncol 1998; 13: 233–9. PMID: 9664116",10.3892/ijo.13.2.233,10.3892/ijo.13.2.233,10.3892/ijo.13.2.233
10.1016/j.tranon.2016.08.007,"Wang, J, Yang, T, Xu, G, et al. Cyclin-dependent kinase 2 promotes tumor proliferation and induces radio resistance in glioblastoma. Transl Oncol 2016; 9: 548–56. PMID: 27863310",10.1016/j.tranon.2016.08.007,10.1016/j.tranon.2016.08.007,10.1016/j.tranon.2016.08.007
10.4161/cc.6.23.4994,"Faber, AC, Chiles, TC. Inhibition of cyclin-dependent kinase-2 induces apoptosis in human diffuse large B-cell lymphomas. Cell Cycle 2007; 6: 2982–9. PMID: 18156799",10.4161/cc.6.23.4994,10.4161/cc.6.23.4994,10.4161/cc.6.23.4994
10.2217/fon-2017-0561,"Yin, X, Yu, J, Zhou, Y, et al. Identification of CDK2 as a novel target in treatment of prostate cancer. Future Oncol 2018; 14: 709–18. PMID: 29323532",10.2217/fon-2017-0561,10.2217/fon-2017-0561,10.2217/fon-2017-0561
10.3389/fonc.2018.00303,"Lin, ZP, Zhu, YL, Ratner, ES. Targeting cyclin-dependent kinases for treatment of gynecologic cancers. Front Oncol 2018; 8: 303. PMID: 30135856",10.3389/fonc.2018.00303,10.3389/fonc.2018.00303,10.3389/fonc.2018.00303
10.1186/1476-4598-3-1,"Hamdouchi, C, Keyser, H, Collins, E, et al. The discovery of a new structural class of cyclin-dependent kinase inhibitors, aminoimidazo[1,2-a]pyridines. Mol Cancer Ther 2004; 3: 1–9. PMID: 14749470",10.1002/chin.200516223,10.1002/chin.200516223,???
10.1021/jm800382h,"Wyatt, PG, Woodhead, AJ, Berdini, V, et al. Identification of N-(4-piperidinyl)-4-(2,6-dichlorobenzoylamino)-1H-pyrazole-3-carboxamide (AT7519), a novel cyclin dependent kinase inhibitor using fragment-based X-ray crystallography and structure based drug design. J Med Chem 2008; 51: 4986–99. PMID: 18656911",10.2210/pdb2vta/pdb,10.2210/pdb2vtp/pdb,10.2210/pdb2vtp/pdb
10.1080/10428194.2016.1239259,"Seftel, MD, Kuruvilla, J, Kouroukis, T, et al. The CDK inhibitor AT7519M in patients with relapsed or refractory chronic lymphocytic leukemia (CLL) and mantle cell lymphoma. A Phase II study of the Canadian Cancer Trials Group. Leuk Lymphoma 2017; 58: 1358–65. PMID: 27750483",10.1080/10428194.2016.1239259,10.1080/10428194.2016.1239259,10.1080/10428194.2016.1239259
10.1016/j.ejmech.2020.112073,"Cheng, C, Yun, F, Ullah, S, Yuan, Q. Discovery of novel cyclin-dependent kinase (CDK) and histone deacetylase (HDAC) dual inhibitors with potent in vitro and in vivo anticancer activity. Eur J Med Chem 2020; 189: 112073. PMID: 31991336",10.1016/j.ejmech.2020.112073,10.1016/j.ejmech.2020.112073,10.1016/j.ejmech.2020.112073
10.1021/jm0103256,"Honma, T, Hayashi, K, Aoyama, T, et al. Structure-based generation of a new class of potent Cdk4 inhibitors: new de novo design strategy and library design. J Med Chem 2001; 44: 4615–27. PMID: 11741479",10.1021/jm0103256,10.1021/jm0103256,10.1021/jm0103256
10.1158/0008-5472.can-05-2507,"Payton, M, Chung, G, Yakowec, P, et al. Discovery and evaluation of dual CDK1 and CDK2 inhibitors. Cancer Res 2006; 66: 4299–308. PMID: 16618755",10.1158/0008-5472.can-05-2507,10.1158/0008-5472.can-05-2507,10.1158/0008-5472.can-05-2507
10.3109/14756366.2015.1057716,"Wróbel, TM, Kiełbus, M, Kaczor, AA, et al. Discovery of nitroaryl urea derivatives with antiproliferative properties. J Enzyme Inhib Med Chem 2016; 31: 608–18. PMID: 26114307",10.3109/14756366.2015.1057716,10.3109/14756366.2015.1057716,10.3109/14756366.2015.1057716
10.1021/acschembio.5b00398,"Alexander, LT, Möbitz, H, Drueckes, P, et al. Type II inhibitors targeting CDK2. ACS Chem Biol 2015; 10: 2116–25. PMID: 26158339",10.1021/acschembio.5b00398,10.1021/acschembio.5b00398,10.1021/acschembio.5b00398
10.1016/j.bioorg.2014.01.001,"Gouda, AM, Abdelazeem, AH, Arafa, e-SA, Abdellatif, KR. Design, synthesis and pharmacological evaluation of novel pyrrolizine derivatives as potential anticancer agents. Bioorg Chem 2014; 53: 1–7. PMID: 24462996",10.1016/j.bioorg.2014.01.001,10.1016/j.bioorg.2014.01.001,10.1016/j.bioorg.2014.01.001
10.1016/j.bmc.2017.08.039,"Gouda, AM, Abdelazeem, AH, Omar, HA, et al. Pyrrolizines: design, synthesis, anticancer evaluation and investigation of the potential mechanism of action. Bioorg Med Chem 2017; 25: 5637–51. PMID: 28916158",10.1016/j.bmc.2017.08.039,10.1016/j.bmc.2017.08.039,10.1016/j.bmc.2017.08.039
10.1016/j.ejmech.2019.111780,"Shawky, AM, Abourehab, MAS, Abdalla, AN, Gouda, AM. Optimization of pyrrolizine-based Schiff bases with 4-thiazolidinone motif: design, synthesis and investigation of cytotoxicity and anti-inflammatory potency. Eur J Med Chem 2020; 185: 111780. PMID: 31655429",10.1016/j.ejmech.2019.111780,10.1016/j.ejmech.2019.111780,10.1016/j.ejmech.2019.111780
10.1016/j.ejmech.2019.01.003,"Cheng, W, Yang, Z, Wang, S, et al. Recent development of CDK inhibitors: an overview of CDK/inhibitor co-crystal structures. Eur J Med Chem 2019; 164: 615–39. PMID: 30639897",10.1016/j.ejmech.2019.01.003,10.1016/j.ejmech.2019.01.003,10.1016/j.ejmech.2019.01.003
10.1016/j.ejmech.2017.07.067,"Tutone, M, Almerico, AM. Recent advances on CDK inhibitors: an insight by means of in silico methods. Eur J Med Chem 2017; 142: 300–15. PMID: 28802482",10.1016/j.ejmech.2017.07.067,10.1016/j.ejmech.2017.07.067,10.1016/j.ejmech.2017.07.067
,"Ece, A, Sevin, F. The discovery of potential cyclin A/CDK2 inhibitors: a combination of 3D QSAR pharmacophore modeling, virtual screening, and molecular docking studies. Med Chem Res 2013; 22: 5832–43.",10.1007/s00044-013-0571-y,10.1007/s00044-013-0571-y,10.1007/s00044-013-0571-y
,"Mohammad, T, Batra, S, Dahiya, R, et al. Identification of high-affinity inhibitors of cyclin-dependent kinase 2 towards anticancer therapy. Molecules 2019; 24: 4589.",10.3390/molecules24244589,10.3390/molecules24244589,10.3390/molecules24244589
10.1016/j.ejmech.2015.04.032,"Nakanishi, I, Murata, K, Nagata, N, et al. Identification of protein kinase CK2 inhibitors using solvent dipole ordering virtual screening. Eur J Med Chem 2015; 96: 396–404. PMID: 25912672",10.1016/j.ejmech.2015.04.032,10.1016/j.ejmech.2015.04.032,10.1016/j.ejmech.2015.04.032
10.1021/jm050468i,"Zhang, Q, Muegge, I. Scaffold hopping through virtual screening using 2D and 3D similarity descriptors: ranking, voting, and consensus scoring. J Med Chem 2006; 49: 1536–48. PMID: 16509572",10.1021/jm050468i,10.1021/jm050468i,10.1021/jm050468i
10.1080/14756366.2019.1693702,"Liang, J-W, Wang, M-Y, Wang, S, et al. Identification of novel CDK2 inhibitors by a multistage virtual screening method based on SVM, pharmacophore and docking model. J Enzyme Inhib Med Chem 2020; 35: 235–44. PMID: 31760818",10.1080/14756366.2019.1693702,10.1080/14756366.2019.1693702,10.1080/14756366.2019.1693702
10.1007/s00894-012-1528-7,"Poulsen, A, William, A, Blanchard, S, et al. Structure-based design of nitrogen-linked macrocyclic kinase inhibitors leading to the clinical candidate SB1317/TG02, a potent inhibitor of cyclin dependant kinases (CDKs), Janus kinase 2 (JAK2), and Fms-like tyrosine kinase-3 (FLT3). J Mol Model 2013; 19: 119–30. PMID: 22820730",10.1007/s00894-012-1528-7,10.1007/s00894-012-1528-7,10.1007/s00894-012-1528-7
10.1007/978-1-60761-839-3_11,"Horvath, D. Pharmacophore-based virtual screening. Methods Mol Biol 2011; 672: 261–98. PMID: 20838973",10.1007/978-1-60761-839-3_11,10.1007/978-1-60761-839-3_11,10.1007/978-1-60761-839-3_11
10.1016/j.bmcl.2015.08.050,"Hu, Y, Li, S, Liu, F, et al. Discovery of novel nonpeptide allosteric inhibitors interrupting the interaction of CDK2/cyclin A3 by virtual screening and bioassays. Bioorg Med Chem Lett 2015; 25: 4069–73. PMID: 26316466",10.1016/j.bmcl.2015.08.050,10.1016/j.bmcl.2015.08.050,10.1016/j.bmcl.2015.08.050
10.1093/nar/gkw287,"Sunseri, J, Koes, DR. Pharmit: interactive exploration of chemical space. Nucleic Acids Res 2016; 44: W442–8. PMID: 27095195",10.1093/nar/gkw287,10.1093/nar/gkw287,10.1093/nar/gkw287
,"Gouda, AM, Ali, HI, Almalki, WH, Azim, MA, et al. Design, synthesis, and biological evaluation of some novel pyrrolizine derivatives as COX inhibitors with anti-inflammatory/analgesic activities and low ulcerogenic liability. Molecules 2016; 21: 201.",10.3390/molecules21020201,10.3390/molecules21020201,10.3390/molecules21020201
10.1016/j.bioorg.2019.103371,"Attalah, KM, Abdalla, AN, Aslam, A, Ahmed, M, et al. Ethyl benzoate bearing pyrrolizine/indolizine moieties: design, synthesis and biological evaluation of anti-inflammatory and cytotoxic activities. Bioorg Chem 2020; 94: 103371. PMID: 31708230",10.1016/j.bioorg.2019.103371,10.1016/j.bioorg.2019.103371,10.1016/j.bioorg.2019.103371
10.2478/acph-2018-0026,"Gouda, AM, Abdelazeem, AH, Abdalla, AN, Ahmed, M. Pyrrolizine-5-carboxamides: exploring the impact of various substituents on anti-inflammatory and anticancer activities. Acta Pharm 2018; 68: 251–73. PMID: 31259695",10.2478/acph-2018-0026,10.2478/acph-2018-0026,10.2478/acph-2018-0026
,"Belal, A, Gouda, AM, Ahmed, AS, Abdel Gawad, NM. Synthesis of novel indolizine, diazepinoindolizine and pyrimidoindolizine derivatives as potent and selective anticancer agents. Res Chem Intermed 2015; 41: 9687–701.",10.1007/s11164-015-1958-9,10.1007/s11164-015-1958-9,10.1007/s11164-015-1958-9
,"Elsaady, MT, Gouda, AM, Edrees, FH, Gawad, NMA. Synthesis and biological evaluation of some novel Schiff base derivatives as potential anticancer agents. J Chem Pharm Res 2016; 8: 273–82.",10.1021/jm049213f.s001,10.1002/ardp.201000188,???
10.1016/j.ejmech.2018.04.029,"Malki, WH, Gouda, AM, Ali, HEA, et al. Structural-based design, synthesis, and antitumor activity of novel alloxazine analogues with potential selective kinase inhibition. Eur J Med Chem 2018; 152: 31–52. PMID: 29684708",10.1016/j.ejmech.2018.04.029,10.1016/j.ejmech.2018.04.029,10.1016/j.ejmech.2018.04.029
10.1016/j.jsps.2019.04.003,"Alkahtani, HM, Alanazi, MM, Aleanizy, FS, et al. Synthesis, anticancer, apoptosis-inducing activities and EGFR and VEGFR2 assay mechanistic studies of 5,5-diphenylimidazolidine-2,4-dione derivatives: molecular docking studies. Saudi Pharm J 2019; 27: 682–93. PMID: 31297023",10.1016/j.jsps.2019.04.003,10.1016/j.jsps.2019.04.003,10.1016/j.jsps.2019.04.003
,"Abdalla, AN, Shaheen, U, Abdallah, QMA, et al. Proapoptotic activity of Achillea membranacea essential oil and its major constituent 1,8-cineole against A2780 ovarian cancer cells. Molecules 2020; 25: 1582.",10.3390/molecules25071582,10.3390/molecules25071582,10.3390/molecules25071582
10.1016/j.bmc.2018.05.024,"Wang, Y, Chen, Y, Cheng, X, et al. Design, synthesis and biological evaluation of pyrimidine derivatives as novel CDK2 inhibitors that induce apoptosis and cell cycle arrest in breast cancer cells. Bioorg Med Chem 2018; 26: 3491–501. PMID: 29853338",10.1016/j.bmc.2018.05.024,10.1016/j.bmc.2018.05.024,10.1016/j.bmc.2018.05.024
10.1002/jcc.21256,"Morris, GM, Huey, R, Lindstrom, W, et al. AutoDock4 and AutoDockTools4: automated docking with selective receptor flexibility. J Comput Chem 2009; 30: 2785–91. PMID: 19399780",10.1002/jcc.21256,10.1002/jcc.21256,10.1002/jcc.21256
,"Gouda, AM, Almalki, FA. Carprofen: a theoretical mechanistic study to investigate the impact of hydrophobic interactions of alkyl groups on modulation of COX-1/2 binding selectivity. SN Appl Sci 2019; 1: 332.",10.1007/s42452-019-0335-5,10.1007/s42452-019-0335-5,10.1007/s42452-019-0335-5
,"Almalki, FA, Gouda, AM, Bin Ali, MH, Almehmadi, OM. Profens: a comparative molecular docking study into cyclooxygenase-1/2. Drug Invent Today 2019; 11: 480–7.",10.19045/bspab.2018.70070,10.1101/866152,???
,"Attallah, KM, Gouda, AM, Ibrahim, IT, Abouzeid, L. Design, synthesis, 99mTc labeling, and biological evaluation of a novel pyrrolizine derivative as potential anti-inflammatory agent. Radiochemistry 2017; 59: 630–8.",10.1134/s10663622170600121,10.1134/s10663622170600121,10.1134/s10663622170600121
,"Dassault Systems BIOVIA, Discovery studio visualizer, v16.1.0.15350. San Diego (CA): Dassault Systems; 2016.",10.1016/0261-3069(95)90038-1,10.1016/0261-3069(95)90038-1,???
10.1021/jm0600388,"Lu, H, Schulze-Gahmen, U. Toward understanding the structural basis of cyclin-dependent kinase 6 specific inhibition. J Med Chem 2006; 49: 3826–31. PMID: 16789739",10.1021/jm0600388,10.1021/jm0600388,10.1021/jm0600388
10.1021/cb2004516,"Baumli, S, Hole, AJ, Noble, ME, Endicott, JA. The CDK9 C-helix exhibits conformational plasticity that may explain the selectivity of CAN508. ACS Chem Biol 2012; 7: 811–6. PMID: 22292676",10.1021/cb2004516,10.1021/cb2004516,10.1021/cb2004516
10.1038/srep42717,"Daina, A, Michielin, O, Zoete, V. SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules. Sci Rep 2017; 7: 42717. PMID: 28256516",10.1038/srep42717,10.1038/srep42717,10.1038/srep42717
,"Lipinski, CA, Lombardo, F, Dominy, BW, Feeney, PJ. Experimental and computational approaches to estimate solubility and permeability in drug discovery and development settings. Adv Drug Deliv Rev 1997; 23: 3–25.",10.1016/s0169-409x(96)00423-1,10.1016/s0169-409x(96)00423-1,10.1016/s0169-409x(96)00423-1
10.1023/a:1020444330011,"Zhao, YH, Abraham, MH, Le, J, et al. Rate-limited steps of human oral absorption and QSAR studies. Pharm Res 2002; 19: 1446–57. PMID: 12425461",10.1023/a:1020444330011,10.1002/jps.1031,10.1023/a:1020444330011
