explicit_doi,bibref,retrieved_local_doi,retrieved_remote_doi,manual_doi
,"American Academy of Sleep Medicine, The International Classification of Sleep Disorders. (ICSD-3), 3rd ed, American Academy of Sleep Medicine, Illinois, IL, USA, 2014",10.1016/j.jsmc.2013.10.006,10.1016/j.jsmc.2013.10.006,10.1378/chest.14-0970 
10.1037/0033-2909.133.3.482,"Levin, R, Nielsen, T.A. Disturbed dreaming, posttraumatic stress disorder, and affect distress: A review and neurocognitive model, Psychol. Bull, 2007, 133, 482, 528, DOI: 10.1037/0033-2909.133.3.482, PMID: 17469988",10.1037/0033-2909.133.3.482,10.1037/0033-2909.133.3.482,10.1037/0033-2909.133.3.482
,"Schredl, M. Researching Dreams: The Fundamentals, 1st ed, Palgrave Macmillan, Cham, Switzerland, 2018",10.1007/978-3-319-95453-0,10.1007/978-3-319-95453-0,10.1007/978-3-319-95453-0
10.1037/a0037749,"Böckermann, M, Gieselmann, A, Pietrowsky, R. What does nightmare distress mean? Factorial structure and psychometric properties of the Nightmare Distress Questionnaire (NDQ), Dreaming, 2014, 24, 279, 289, DOI: 10.1037/a0037749",10.1037/a0037749,10.1037/a0037749,10.1037/a0037749
10.1037/0021-843x.101.3.592,"Belicki, K. Nightmare fequency versus nightmare distress: Relation to psychopathology and cognitive style, J. Abnorm. Psychol, 1992, 101, 592, 597, DOI: 10.1037/0021-843X.101.3.592, PMID: 1500619",10.1037/0021-843x.101.3.592,10.1037/0021-843x.101.3.592,10.1037/0021-843x.101.3.592
10.1037/h0094355,"Belicki, K. The relationship of nightmare frequency to nightmare suffering with implications for treatment and research, Dreaming, 1992, 2, 143, 148, DOI: 10.1037/h0094355",10.1037/h0094355,10.1037/h0094355,10.1037/h0094355
10.1037/drm0000039,"Lee, R, Suh, S. Nightmare distress as a mediator between nightmare frequency and suicidal ideation, Dreaming, 2016, 26, 308, 318, DOI: 10.1037/drm0000039",10.1037/drm0000039,10.1037/drm0000039,10.1037/drm0000039
10.1016/j.paid.2006.03.010,"Roberts, J, Lennings, C.J. Personality, psychopathology and nightmares in young people, Pers. Individ. Differ, 2006, 41, 733, 744, DOI: 10.1016/j.paid.2006.03.010",10.1016/j.paid.2006.03.010,10.1016/j.paid.2006.03.010,10.1016/j.paid.2006.03.010
10.5935/1984-0063.20190080,"Schredl, M, Göritz, A.S. Nightmare frequency and nightmare distress: Socio-demographic and personality factors, Sleep Sci, 2019, 12, 178, 184, DOI: 10.5935/1984-0063.20190080, PMID: 31890093",10.5935/1984-0063.20190080,10.5935/1984-0063.20190080,10.5935/1984-0063.20190080
10.1007/s00406-003-0438-1,"Schredl, M. Effects of state and trait factors on nightmare frequency, Eur. Arch. Psychiatry Clin. Neurosci, 2003, 253, 241, 247, DOI: 10.1007/s00406-003-0438-1, PMID: 14504993",10.1007/s00406-003-0438-1,10.1007/s00406-003-0438-1,10.1007/s00406-003-0438-1
10.1159/000343590,"Swart, M.L, van Schagen, A.M, Lancee, J, van den Bout, J. Prevalence of nightmare disorder in psychiatric outpatients, Psychother. Psychosom, 2013, 82, 267, 268, DOI: 10.1159/000343590, PMID: 23735876",10.1159/000343590,10.1159/000343590,10.1159/000343590
,"Pack, A.I, Keenan, B.T, Byrne, E.M, Gehrman, P.R. Genetics and genomic basis of sleep disorders in humans, Principles and Practice of Sleep Medicine, 6th ed, Kryger, M, Roth, T, Dement, W.C. Elsevier, Philidelphia, PA, USA, 2017, 322, 339",10.1016/b978-0-323-24288-2.00031-3,10.1016/b978-0-323-24288-2.00031-3,10.1016/b978-0-323-24288-2.00031-3
10.1037/pspp0000099,"Lipnevich, A.A, Credè, M, Hahn, E, Spinath, F.M, Roberts, R.D, Preckel, F. How distinctive are morningness and eveningness from the Big Five factors of personality? A meta-analytic investigation, J. Pers. Soc. Psychol, 2017, 112, 491, 509, DOI: 10.1037/pspp0000099, PMID: 27977220",10.1037/pspp0000099,10.1037/pspp0000099,10.1037/pspp0000099
10.1080/07420520902750995,"Tonetti, L, Fabbri, M, Natale, V. Relationship between Circadian Typology and Big Five Personality Domains, Chronobiol. Int, 2009, 26, 337, 347, DOI: 10.1080/07420520902750995, PMID: 19212845",10.1080/07420520902750995,10.1080/07420520902750995,10.1080/07420520902750995
10.1007/s40675-018-0113-8,"Kivelä, L, Papadopoulos, M.R, Antypa, N. Chronotype and Psychiatric Disorders, Curr. Sleep Med. Rep, 2018, 4, 94, 103, DOI: 10.1007/s40675-018-0113-8, PMID: 29888167",10.1007/s40675-018-0113-8,10.1007/s40675-018-0113-8,10.1007/s40675-018-0113-8
10.1177/0748730409351677,"Nielsen, T. Nightmares associated with eveningness chronotype, J. Biol. Rhythms, 2010, 25, 53, 62, DOI: 10.1177/0748730409351677, PMID: 20075301",10.1177/0748730409351677,10.1177/0748730409351677,10.1177/0748730409351677
10.1111/j.1479-8425.2011.00511.x,"Selvi, Y, Aydin, A, Gulec, M, Boysan, M, Besiroglu, L, Ozdemir, P.G, Kilic, S. Comparison of dream anxiety and subjective sleep quality between chronotypes, Sleep Biol. Rhythms, 2012, 10, 14, 22, DOI: 10.1111/j.1479-8425.2011.00511.x",10.1111/j.1479-8425.2011.00511.x,10.1111/j.1479-8425.2011.00511.x,10.1111/j.1479-8425.2011.00511.x
10.1177/2158244017728321,"Randler, C, Schredl, M, Göritz, A.S. Chronotype, Sleep Behavior, and the Big Five Personality Factors, SAGE Open, 2017, 7, 1, 9, DOI: 10.1177/2158244017728321",10.1177/2158244017728321,10.1177/2158244017728321,10.1177/2158244017728321
10.1038/nature10190,"Lederbogen, F, Kirsch, P, Haddad, L, Streit, F, Tost, H, Schuch, P, Wust, S, Pruessner, J.C, Rietschel, M, Deuschle, M. City living and urban upbringing affect neural social stress processing in humans, Nature, 2011, 474, 498, 501, DOI: 10.1038/nature10190, PMID: 21697947",10.1038/nature10190,10.1038/nature10190,10.1038/nature10190
10.1002/mpr.1439,"Jacobi, F, Höfler, M, Siegert, J, Mack, S, Gerschler, A, Scholl, L, Busch, M.A, Hapke, U, Maske, U, Seiffert, I. Twelve-month prevalence, comorbidity and correlates of mental disorders in Germany: The Mental Health Module of the German Health Interview and Examination Survey for Adults (DEGS1-MH), Int. J. Methods Psychiatr. Res, 2014, 23, 304, 319, DOI: 10.1002/mpr.1439, PMID: 24729411",10.1002/mpr.1439,10.1002/mpr.1439,10.1002/mpr.1439
10.11588/ijodr.2013.2.11127,"Schredl, M. Nightmare frequency in a representative German sample, Int. J. Dream Res, 2013, 6, 119, 122, DOI: 10.11588/ijodr.2013.2.11127",10.2466/pms.106.3.699-702,10.2466/pms.106.3.699-702,10.11588/ijodr.2013.2.11127
10.1023/b:drem.0000005912.77493.d6,"Stepansky, R, Holzinger, B, Schmeiser-Rieder, A, Saletu, B, Kunze, M, Zeitlhofer, J. Austrian dream behavior: Results of a representative population survey, Dreaming, 1998, 8, 23, 30, DOI: 10.1023/B:DREM.0000005912.77493.d6",10.1023/b:drem.0000005912.77493.d6,10.1023/b:drem.0000005912.77493.d6,10.1023/b:drem.0000005912.77493.d6
10.1007/s00406-010-0112-3,"Schredl, M. Nightmare frequency and nightmare topics in a representative German sample, Eur. Arch. Psychiatry Clin. Neurosci, 2010, 260, 565, 570, DOI: 10.1007/s00406-010-0112-3, PMID: 20229263",10.1007/s00406-010-0112-3,10.1007/s00406-010-0112-3,10.1007/s00406-010-0112-3
10.1111/jsr.12416,"Sandman, N, Merikanto, I, Määttänen, H, Valli, K, Kronholm, E, Laatikainen, T, Partonen, T, Paunio, T. Winter is coming: Nightmares and sleep problems during seasonal affective disorder, J. Sleep Res, 2016, 25, 612, 619, DOI: 10.1111/jsr.12416, PMID: 27174375",10.1111/jsr.12416,10.1111/jsr.12416,10.1111/jsr.12416
10.2466/pms.106.3.699-702,"Schredl, M. Dream recall frequency in a representative German sample, Percept. Mot. Skills, 2008, 106, 699, 702, DOI: 10.2466/pms.106.3.699-702, PMID: 18712190",10.2466/pms.106.3.699-702,10.2466/pms.106.3.699-702,10.2466/pms.106.3.699-702
10.2466/pms.108.3.677-680,"Schredl, M. Recall frequency of positive and negative dreams in a representative German sample, Percept. Mot. Skills, 2009, 108, 677, 680, DOI: 10.2466/pms.108.3.677-680, PMID: 19725304",10.2466/pms.108.3.677-680,10.2466/pms.108.3.677-680,10.2466/pms.108.3.677-680
,"Statistisches Bundesamt, Bevölkerung nach Bildungsabschluss in Deutschland, Available online, https://www.destatis.de/DE/ZahlenFakten/GesellschaftStaat/BildungForschungKultur/Bildungsstand/Tabellen/Bildungsabschluss.html, (accessed on 14 May 2018)",10.1007/s001170170196,10.1787/137411367600,???
10.1111/j.1365-2869.2004.00394.x,"Blagrove, M, Farmer, L, Williams, E. The relationship of nightmare frequency and nightmare distress to well-being, J. Sleep Res, 2004, 13, 129, 136, DOI: 10.1111/j.1365-2869.2004.00394.x, PMID: 15175092",10.1111/j.1365-2869.2004.00394.x,10.1111/j.1365-2869.2004.00394.x,10.1111/j.1365-2869.2004.00394.x
,"Zadra, A.L, Germain, A, Fleury, F, Raymond, I, Nielsen, T.A. Nightmare frequency versus nightmare distress among people with frequent nightmares, Sleep Supplement, 2000, 23, A170",10.1111/jsr.13200,10.1016/b978-0-323-24288-2.00053-2,???
10.3390/biology8030054,"Roenneberg, T, Pilz, L.K, Zerbini, G, Winnebeck, E.C. Chronotype and Social Jetlag: A (Self-) Critical Review, Biology, 2019, 8, 54, DOI: 10.3390/biology8030054",10.20944/preprints201905.0092.v1,10.3390/biology8030054,10.3390/biology8030054
10.1046/j.1439-054x.2001.01149.x,"Griefahn, B, Künemund, C, Bröde, P, Mehnert, P. Zur Validität der deutschen Übersetzung des Morningness-Eveningness-Questionnaires von Horne und Östberg, Somnology, 2001, 5, 71, 80, DOI: 10.1046/j.1439-054X.2001.01149.x",10.1046/j.1439-054x.2001.01149.x,10.1046/j.1439-054x.2001.01149.x,10.1046/j.1439-054x.2001.01149.x
10.3109/07420528.2011.635232,"Vollmer, C, Michel, U, Randler, C. Outdoor Light at Night (LAN) Is Correlated With Eveningness in Adolescents, Chronobiol. Int, 2012, 29, 502, 508, DOI: 10.3109/07420528.2011.635232, PMID: 22214237",10.3109/07420528.2011.635232,10.3109/07420528.2011.635232,10.3109/07420528.2011.635232
10.1016/j.cub.2013.06.039,"Wright, K.P, McHill, A.W, Birks, B.R, Griffin, B.R, Rusterholz, T, Chinoy, E.D. Entrainment of the Human Circadian Clock to the Natural Light-Dark Cycle, Curr. Biol, 2013, 23, 1554, 1558, DOI: 10.1016/j.cub.2013.06.039, PMID: 23910656",10.1016/j.cub.2013.06.039,10.1016/j.cub.2013.06.039,10.1016/j.cub.2013.06.039
10.1037/0021-843x.99.1.64,"Wood, J.M, Bootzin, R.R. The prevalence of nightmares and their independence from anxiety, J. Abnorm. Psychol, 1990, 99, 64, 68, DOI: 10.1037/0021-843X.99.1.64, PMID: 2307768",10.1037/0021-843x.99.1.64,10.1037/0021-843x.99.1.64,10.1037/0021-843x.99.1.64
10.1037/0021-843x.109.2.273,"Zadra, A.L, Donderi, D.C. Nightmares and bad dreams: Their prevalence and relationship to well-being, J. Abnorm. Psychol, 2000, 109, 273, 281, DOI: 10.1037/0021-843X.109.2.273, PMID: 10895565",10.1037/0021-843x.109.2.273,10.1037/0021-843x.109.2.273,10.1037/0021-843x.109.2.273
10.1111/j.1365-2869.2008.00649.x,"Robert, G, Zadra, A.L. Measuring nightmare and bad dream frequency: Impact of retrosepective and prospective instruments, J. Sleep Res, 2008, 17, 132, 139, DOI: 10.1111/j.1365-2869.2008.00649.x, PMID: 18482103",10.1111/j.1365-2869.2008.00649.x,10.1111/j.1365-2869.2008.00649.x,10.1111/j.1365-2869.2008.00649.x
10.11588/ijodr.2015.2.23395,"Zunker, M, Althoff, H.K, Apel, J, Lässig, H.S, Schültke, L, Schredl, M. Comparing questionnaire and diary measures for eliciting nightmare frequency, Int. J. Dream Res, 2015, 8, 129, 134, DOI: 10.11588/ijodr.2015.2.23395",10.1037/a0039165,10.1037/a0039165,10.11588/ijodr.2015.2.23395
10.1093/sleep/zsaa116,"Vallat, R, Nicolas, A, Ruby, P. Brain functional connectivity upon awakening from sleep predicts inter-individual differences in dream recall frequency, Sleep, 2020, zsaa116, DOI: 10.1093/sleep/zsaa116, PMID: 32597973",10.1093/sleep/zsaa116,10.1093/sleep/zsaa116,10.1093/sleep/zsaa116
10.11588/ijodr.2019.2.62531,"Schredl, M, Holyba, L, Köllmer, T, Körfer, J, Proß, A. Nightmare distress, nightmare frequency, and beliefs about nightmares, Int. J. Dream Res, 2019, 12, 60, 66, DOI: 10.11588/ijodr.2019.2.62531",10.1177/0276236620934371,10.1177/0276236620934371,10.11588/ijodr.2019.2.62531
10.2466/pms.98.3.1422-1426,"Schredl, M. Reliability and stability of a dream recall frequency scale, Percept. Mot. Skills, 2004, 98, 1422, 1426, DOI: 10.2466/PMS.98.3.1422-1426, PMID: 15291233",10.2466/pms.98.3c.1422-1426,10.2466/pms.98.3c.1422-1426,10.2466/pms.98.3c.1422-1426
10.11588/ijodr.2014.2.16675,"Schredl, M, Berres, S, Klingauf, A, Schellhaas, S, Göritz, A.S. The Mannheim Dream questionnaire (MADRE): Retest reliability, age and gender effects, Int. J. Dream Res, 2014, 7, 141, 147, DOI: 10.11588/ijodr.2014.2.16675",10.1037/t67062-000,10.1037/t67062-000, 10.11588/ijodr.2014.2.16675
10.11588/ijodr.2013.2.11137,"Stumbrys, T, Erlacher, D, Schredl, M. Reliability and stability of lucid dream and nightmare frequency scales, Int. J. Dream Res, 2013, 6, 123, 126, DOI: 10.11588/ijodr.2013.2.11137",10.1037/drm0000015,10.1037/drm0000015,10.11588/ijodr.2013.2.11137
,"Horne, J.A, Ostberg, O. A self-assessment questionnaire to determine morningness-eveningness in human circadian rhythms, Int. J. Chronobiol, 1976, 4, 97, 110, PMID: 1027738",10.1037/t02254-000,10.1037/t02254-000,???
,"Körner, A, Drapeau, M, Albani, C, Geyer, M, Schmutzer, G, Brähler, E. Deutsche Normierung des NEO-Fünf-Faktoren-Inventars (NEO-FFI) (German Norms for the NEO-Five Factor Inventory), Z. Med. Psychol, 2008, 17, 133, 144",10.1055/s-2007-986199,10.1026//0012-1924.48.1.19,???
10.1055/s-2007-986199,"Körner, A, Geyer, M, Roth, M, Drapeau, M, Schmutzer, G, Albani, C, Schumann, S, Brahler, E. Personlichkeitsdiagnostik mit dem NEO-Fünf-Faktoren-Inventar: Die 30-Item-Kurzversion (NEO-FFI-30) [Personality diagnostic using the NEO-Five-Factor-Inventory: The 30-Item short version (NEO-FFI-30)], Psychother. Psychosom. Med. Psychol, 2008, 58, 238, 245, DOI: 10.1055/s-2007-986199, PMID: 17899495",10.1055/s-2007-986199,10.1055/s-2007-986199,10.1055/s-2007-986199
,"Wiso Panel, Available online, https://www.wisopanel.net/, (accessed on 26 June 2020)",10.1117/2.3200903.0001,10.1086/690776,???
10.1001/jama.2020.1227,"Emanuel, EJ. The inevitable reimagining of medical education, JAMA, 2020, 323, 12, 1127, 1128, DOI: 10.1001/jama.2020.1227, PMID: 32105294",10.1001/jama.2020.1227,10.1001/jama.2020.1227,10.1001/jama.2020.1227
10.1056/nejmp1706474,"Schwartzstein, RM, Roberts, DH. Saying goodbye to lectures in medical school — paradigm shift or passing fad, New Engl J Med, 2017, 377, 7, 605, 607, DOI: 10.1056/nejmp1706474, PMID: 28813217",10.1056/nejmp1706474,10.1056/nejmp1706474,10.1056/nejmp1706474
,SketchyMedical. https://www.sketchymedical.com. Accessed 8 April 2020.,10.1097/01.aog.0000263912.85318.9f,10.1097/01.aog.0000263912.85318.9f,???
,Pathoma. https://www.pathoma.com. Accessed 8 April 2020.,10.1097/01.aog.0000263912.85318.9f,10.1097/00006250-200507000-00001,???
,UWorld. https://www.uworld.com. Accessed 8 April 2020.,10.1097/01.aog.0000263912.85318.9f,10.1109/icime.2010.5478251,???
10.1177/105256298200700103,"Michaelsen, LK, Watson, W, Cragin, JP, Fink, LD. Team learning: a potential solution to the problems of large classes, J Organ Behav Educ, 1982, 7, 1, 13, 22, DOI: 10.1177/105256298200700103",10.1177/105256298200700103,10.1177/105256298200700103,10.1177/105256298200700103
10.1007/s10459-006-9012-8,"Dolmans, DH, Schmidt, HG. What do we know about cognitive and motivational effects of small group tutorials in problem-based learning, Adv Health Sci Educ, 2006, 11, 4, 321, 336, DOI: 10.1007/s10459-006-9012-8",10.1007/s10459-006-9012-8,10.1007/s10459-006-9012-8,10.1007/s10459-006-9012-8
,"Wray A, Wolff M, Boysen-Osborn M, Wiechmann W, Paradise P, Runcie E, Sudario G, Toohey S. Not another boring resident didactic conference. AEM Educ Train. 2019;4(S1). 10.1002/aet2.10367",10.1002/aet2.10367,10.1002/aet2.10367,10.1002/aet2.10367
10.1007/s10461-020-02837-x,"Marhefka, S, Lockhart, E, Turner, D. Achieve research continuity during social distancing by rapidly implementing individual and group videoconferencing with participants: key considerations, best practices, and protocols, AIDS Behav, 2020, 24, 1983, 1989, DOI: 10.1007/s10461-020-02837-x, PMID: 32240428",10.1007/s10461-020-02837-x,10.1007/s10461-020-02837-x,10.1007/s10461-020-02837-x
,"Gaber DA, Shehata MH, Amin HA. Online team-based learning sessions as interactive methodologies during the pandemic. Med Educ. 2020;54(7):666–7.",10.1111/medu.14198,10.1111/medu.14198,10.1111/medu.14198 
10.1001/jama.1995.03520300057037,"Perednia, DA, Allen, A. Telemedicine technology and clinical applications, JAMA, 1995, 273, 6, 483, 488, DOI: 10.1001/jama.1995.03520300057037, PMID: 7837367",10.1001/jama.273.6.483,10.1001/jama.273.6.483,10.1001/jama.273.6.483
10.1146/annurev.publhealth.21.1.613.perednia,"Bashshur, RL, Reardon, TG, Shannon, GW. Telemedicine: a new health care delivery system, Annu Rev Public Health, 2000, 21, 1, 613, 637, DOI: 10.1146/annurev.publhealth.21.1.613.Perednia, PMID: 10884967",10.1146/annurev.publhealth.21.1.613,10.1146/annurev.publhealth.21.1.613,10.1146/annurev.publhealth.21.1.613
10.1016/j.tics.2010.09.003,"Roediger, HL, Butler, AC. The critical role of retrieval practice in long-term retention, Trends Cogn Sci, 2011, 15, 1, 20, 27, DOI: 10.1016/j.tics.2010.09.003, PMID: 20951630",10.1016/j.tics.2010.09.003,10.1016/j.tics.2010.09.003,10.1016/j.tics.2010.09.003
,"Shepard, LA. Formative assessment: caveat emptor. In: Dwyer CA. The future of assessment: shaping teaching and learning, 2008, New York, Routledge",10.4324/9781315086545-12,10.4324/9781315086545-12,10.4324/9781315086545-12
10.1016/j.humov.2013.01.002,"Agostini, V, Chiaramello, E, Canavese, L, Bredariol, C, Knaflitz, M. Postural sway in volleyball players, Hum Mov Sci, 2013, 32, 445, 456, DOI: 10.1016/j.humov.2013.01.002, PMID: 23628360",10.1016/j.humov.2013.01.002,10.1016/j.humov.2013.01.002,10.1016/j.humov.2013.01.002
10.1007/s11332-008-0056-4,"Alpini, D, Mattei, V, Schlecht, H, Kohen-Raz, R. Postural control modifications induced by synchronized ice skating, Sport Sci Health, 2008, 3, 11, 17, DOI: 10.1007/s11332-008-0056-4",10.1007/s11332-008-0056-4,10.1007/s11332-008-0056-4,10.1007/s11332-008-0056-4
10.1080/02640414.2010.544046,"Kuczyński, M, Szymańska, M, Bieć, E. Dual-task effect on postural control in high-level competitive dancers, J Sports Sci, 2011, 29, 539, 545, DOI: 10.1080/02640414.2010.544046, PMID: 21294035",10.1080/02640414.2010.544046,10.1080/02640414.2010.544046,10.1080/02640414.2010.544046
10.1007/s00421-011-2151-5,"Stambolieva, K, Diafas, V, Bachev, V, Christova, L, Gatev, P. Postural stability of canoeing and kayaking young male athletes during quiet stance, Eur J Appl Physiol, 2012, 112, 1807, 1815, DOI: 10.1007/s00421-011-2151-5, PMID: 21909987",10.1007/s00421-011-2151-5,10.1007/s00421-011-2151-5,10.1007/s00421-011-2151-5
10.1080/1750984x.2012.723728,"Wulf, G. Attentional focus and motor learning: a review of 15 years, Int Rev Sport Exerc Psychol, 2013, 6, 77, 104, DOI: 10.1080/1750984X.2012.723728",10.1080/1750984x.2012.723728,10.1080/1750984x.2012.723728,10.1080/1750984x.2012.723728
10.1123/ijspp.2015-0211,"Ihalainen, S, Linnamo, V, Mononen, K, Kuitunen, S. Relation of elite rifle shooters’ technique-test measures to competition performance, Int J Sports Physiol Perform, 2016, 11, 671, 677, DOI: 10.1123/ijspp.2015-0211, PMID: 26559498",10.1123/ijspp.2015-0211,10.1123/ijspp.2015-0211,10.1123/ijspp.2015-0211
10.1016/0021-9290(95)00066-6,"Era, P, Konttinen, N, Mehto, P, Saarela, P, Lyytinen, H. Postural stability and skilled performance-a study on top-level and naive rifle shooters, J Biomech, 1996, 29, 301, 306, DOI: 10.1016/0021-9290(95)00066-6, PMID: 8850636",10.1016/0021-9290(95)00066-6,10.1016/0021-9290(95)00066-6,10.1016/0021-9290(95)00066-6
,"Paillard, T, Noé, F, Rivière, T, Marion, V, Montoya, R, Dupui, P. Postural performance and strategy in the unipedal stance of soccer players at different levels of competition, J Athl Train, 2006, 41, 2, 172, 176, PMID: 16791302",10.1007/s00421-009-1029-2,10.1007/s00421-009-1029-2,???
10.1055/s-2004-830529,"Asseman, F, Caron, O, Crémieux, J. Effects of the removal of vision on body sway during different postures in elite gymnasts, Int J Sports Med, 2005, 26, 116, 119, DOI: 10.1055/s-2004-830529, PMID: 15726495",10.1055/s-2004-830529,10.1055/s-2004-830529,10.1055/s-2004-830529
10.1016/j.neulet.2003.12.102,"Asseman, F, Caron, O, Crémieux, J. Is there a transfer of postural ability from specific to unspecific postures in elite gymnasts, Neurosci Lett, 2004, 358, 83, 86, DOI: 10.1016/j.neulet.2003.12.102, PMID: 15026154",10.1016/j.neulet.2003.12.102,10.1016/j.neulet.2003.12.102,10.1016/j.neulet.2003.12.102
,"Sell, TC, Tsai, Y-S, Smoliga, JM, Myers, JB, Lephart, SM. Strength, flexibility, and balance characteristics of highly proficient golfers, J Strength Cond Res, 2007, 21, 4, 1166, 1171, PMID: 18076270",10.1519/r-21826.1,10.1519/r-21826.1,10.1519/r-21826.1
10.1080/02640414.2017.1306090,"Kim, M, Kim, Y, Kim, H, Yoon, B. Specific muscle synergies in national elite female ice hockey players in response to unexpected external perturbation, J Sports Sci, 2018, 36, 319, 325, DOI: 10.1080/02640414.2017.1306090, PMID: 28415899",10.1080/02640414.2017.1306090,10.1080/02640414.2017.1306090,10.1080/02640414.2017.1306090
10.1016/j.gaitpost.2007.09.007,"Gautier, G, Thouvarecq, R, Vuillerme, N. Postural control and perceptive configuration: influence of expertise in gymnastics, Gait Posture, 2008, 28, 46, 51, DOI: 10.1016/j.gaitpost.2007.09.007, PMID: 17976990",10.1016/j.gaitpost.2007.09.007,10.1016/j.gaitpost.2007.09.007,10.1016/j.gaitpost.2007.09.007
,"Kuczyński M, Rektor Z, Borzucka D. Postural control in quiet stance in the second league male volleyball players. Hum Mov. 2009;10. 10.2478/v10038-008-0025-4.",10.2478/v10038-008-0025-4,10.2478/v10038-008-0025-4,10.2478/v10038-008-0025-4
10.1371/journal.pone.0096440,"Welch, TDJ, Ting, LH. Mechanisms of motor adaptation in reactive balance control, PLoS One, 2014, 9, e96440, DOI: 10.1371/journal.pone.0096440, PMID: 24810991",10.1371/journal.pone.0096440,10.1371/journal.pone.0096440,10.1371/journal.pone.0096440
10.1007/s001670000147,"Söderman, K, Werner, S, Pietilä, T, Engström, B, Alfredson, H. Balance board training: prevention of traumatic injuries of the lower extremities in female soccer players, Knee Surgery, Sport Traumatol Arthrosc, 2000, 8, 356, 363, DOI: 10.1007/s001670000147",10.1007/s001670000147,10.1007/s001670000147,10.1007/s001670000147
10.1177/0363546503262177,"Verhagen, E, van der Beek, A, Twisk, J, Bouter, L, Bahr, R, van Mechelen, W. The effect of a proprioceptive balance board training program for the prevention of ankle sprains, Am J Sports Med, 2004, 32, 1385, 1393, DOI: 10.1177/0363546503262177, PMID: 15310562",10.1177/0363546503262177,10.1177/0363546503262177,10.1177/0363546503262177
10.1177/0363546505284191,"McGuine, TA, Keene, JS. The effect of a balance training program on the risk of ankle sprains in high school athletes, Am J Sports Med, 2006, 34, 1103, 1111, DOI: 10.1177/0363546505284191, PMID: 16476915",10.1177/0363546505284191,10.1177/0363546505284191,10.1177/0363546505284191
10.1109/10.532130,"Prieto, TE, Myklebust, JB, Hoffmann, RG, Lovett, EG, Myklebust, BM. Measures of postural steadiness: differences between healthy young and elderly adults, IEEE Trans Biomed Eng, 1996, 43, 956, 966, DOI: 10.1109/10.532130, PMID: 9214811",10.1109/10.532130,10.1109/10.532130,10.1109/10.532130
